Time (fs=100),RGB_camera,PPG
0,0.36793,0.4344
0.01,0.40787,0.43197
0.02,0.44852,0.4315
0.03,0.48972,0.4355
0.04,0.5309,0.44663
0.05,0.57159,0.46739
0.06,0.61144,0.49951
0.07,0.64991,0.54361
0.08,0.68663,0.59876
0.09,0.72138,0.66242
0.1,0.75355,0.73057
0.11,0.78275,0.79807
0.12,0.80924,0.85934
0.13,0.83221,0.90896
0.14,0.85141,0.94238
0.15,0.86713,0.95643
0.16,0.87897,0.94959
0.17,0.88659,0.92213
0.18,0.89026,0.87601
0.19,0.89017,0.81463
0.2,0.88582,0.74244
0.21,0.8774,0.66447
0.22,0.86574,0.58587
0.23,0.85019,0.5115
0.24,0.83107,0.44554
0.25,0.8091,0.39126
0.26,0.7842,0.35091
0.27,0.75654,0.32556
0.28,0.72675,0.3152
0.29,0.69518,0.31879
0.3,0.66192,0.33441
0.31,0.62752,0.35947
0.32,0.59254,0.39097
0.33,0.55708,0.4257
0.34,0.5217,0.4606
0.35,0.4868,0.49288
0.36,0.45266,0.52029
0.37,0.41978,0.54121
0.38,0.3885,0.55469
0.39,0.35898,0.56052
0.4,0.33176,0.55908
0.41,0.30719,0.55129
0.42,0.28503,0.53846
0.43,0.26599,0.52211
0.44,0.25028,0.50386
0.45,0.23764,0.48529
0.46,0.22841,0.4678
0.47,0.22287,0.45254
0.48,0.22078,0.44036
0.49,0.22199,0.43177
0.5,0.2269,0.42691
0.51,0.23528,0.42557
0.52,0.24648,0.42721
0.53,0.26102,0.43104
0.54,0.27855,0.43607
0.55,0.29847,0.44124
0.56,0.32087,0.44551
0.57,0.34549,0.44806
0.58,0.37176,0.44834
0.59,0.39946,0.44631
0.6,0.42839,0.44251
0.61,0.45799,0.43812
0.62,0.48791,0.435
0.63,0.51797,0.43552
0.64,0.54757,0.44232
0.65,0.57641,0.45796
0.66,0.60428,0.48446
0.67,0.63063,0.52285
0.68,0.65513,0.57278
0.69,0.67776,0.63233
0.7,0.69795,0.69806
0.71,0.71532,0.76527
0.72,0.73021,0.82856
0.73,0.74197,0.88246
0.74,0.75036,0.92207
0.75,0.75564,0.94368
0.76,0.7576,0.94512
0.77,0.75597,0.92594
0.78,0.75096,0.88745
0.79,0.74279,0.83246
0.8,0.73117,0.76493
0.81,0.71628,0.68959
0.82,0.69876,0.61145
0.83,0.67826,0.53537
0.84,0.65514,0.46571
0.85,0.62994,0.40608
0.86,0.60268,0.35914
0.87,0.57371,0.32649
0.88,0.54355,0.30868
0.89,0.51243,0.30524
0.9,0.48068,0.31479
0.91,0.4489,0.33521
0.92,0.41728,0.36382
0.93,0.38623,0.39759
0.94,0.35633,0.43345
0.95,0.3278,0.46846
0.96,0.30092,0.50005
0.97,0.27628,0.5262
0.98,0.25418,0.54551
0.99,0.23457,0.55726
1,0.2181,0.5614
1.01,0.20514,0.55849
1.02,0.19521,0.54955
1.03,0.189,0.53593
1.04,0.18674,0.51922
1.05,0.18808,0.50101
1.06,0.19317,0.48285
1.07,0.20225,0.46609
1.08,0.21508,0.4518
1.09,0.23129,0.44074
1.1,0.25115,0.43328
1.11,0.27441,0.42943
1.12,0.30037,0.42883
1.13,0.32923,0.43084
1.14,0.36062,0.43456
1.15,0.39395,0.43897
1.16,0.42904,0.44302
1.17,0.4655,0.4458
1.18,0.5028,0.44666
1.19,0.54059,0.44538
1.2,0.57845,0.4423
1.21,0.61581,0.43839
1.22,0.65243,0.43527
1.23,0.68779,0.43506
1.24,0.72133,0.44021
1.25,0.75288,0.45315
1.26,0.78204,0.47587
1.27,0.80824,0.5095
1.28,0.8313,0.55396
1.29,0.85119,0.60776
1.3,0.86728,0.66799
1.31,0.87934,0.73057
1.32,0.88786,0.79064
1.33,0.89211,0.8432
1.34,0.89204,0.88363
1.35,0.8881,0.90826
1.36,0.88008,0.91477
1.37,0.86789,0.90242
1.38,0.85194,0.872
1.39,0.83253,0.82575
1.4,0.80953,0.76697
1.41,0.78335,0.69973
1.42,0.75468,0.62844
1.43,0.72337,0.55746
1.44,0.68995,0.49083
1.45,0.65504,0.432
1.46,0.61883,0.38367
1.47,0.58179,0.34763
1.48,0.5445,0.32478
1.49,0.50729,0.31511
1.5,0.47063,0.31775
1.51,0.43508,0.33111
1.52,0.40085,0.35303
1.53,0.36848,0.38098
1.54,0.33844,0.41228
1.55,0.31088,0.4443
1.56,0.28618,0.47465
1.57,0.26478,0.50132
1.58,0.24677,0.52283
1.59,0.2322,0.53824
1.6,0.22154,0.54723
1.61,0.21483,0.54996
1.62,0.21164,0.54711
1.63,0.21255,0.53967
1.64,0.21738,0.52886
1.65,0.22566,0.51602
1.66,0.2376,0.50245
1.67,0.25302,0.48928
1.68,0.27139,0.47746
1.69,0.29252,0.46759
1.7,0.31632,0.45998
1.71,0.34218,0.45459
1.72,0.36962,0.45111
1.73,0.39861,0.44899
1.74,0.42847,0.4476
1.75,0.45865,0.44628
1.76,0.48905,0.44454
1.77,0.51903,0.44217
1.78,0.54802,0.43936
1.79,0.5759,0.43683
1.8,0.60214,0.4358
1.81,0.62615,0.43796
1.82,0.64797,0.44525
1.83,0.6671,0.45968
1.84,0.6831,0.48286
1.85,0.69597,0.51573
1.86,0.70551,0.55819
1.87,0.71139,0.6089
1.88,0.71363,0.66529
1.89,0.71235,0.72374
1.9,0.70729,0.77997
1.91,0.69855,0.8295
1.92,0.6866,0.86818
1.93,0.67116,0.89267
1.94,0.6526,0.90083
1.95,0.63138,0.89185
1.96,0.60752,0.86634
1.97,0.58143,0.82616
1.98,0.55368,0.77419
1.99,0.52446,0.71398
2,0.49416,0.64943
2.01,0.46349,0.58446
2.02,0.4327,0.5227
2.03,0.40215,0.46731
2.04,0.37258,0.42077
2.05,0.34434,0.38485
2.06,0.31761,0.3605
2.07,0.29313,0.34789
2.08,0.27132,0.34642
2.09,0.25213,0.35487
2.1,0.23619,0.37143
2.11,0.22399,0.39397
2.12,0.21516,0.42012
2.13,0.21026,0.44755
2.14,0.20959,0.47403
2.15,0.21289,0.49769
2.16,0.22022,0.51705
2.17,0.23179,0.53115
2.18,0.24738,0.53955
2.19,0.26663,0.54229
2.2,0.28967,0.53989
2.21,0.31622,0.5332
2.22,0.34563,0.5233
2.23,0.37795,0.51139
2.24,0.4127,0.49862
2.25,0.44932,0.486
2.26,0.48753,0.47431
2.27,0.52683,0.46403
2.28,0.56662,0.45532
2.29,0.60657,0.44809
2.3,0.64612,0.44201
2.31,0.68459,0.43671
2.32,0.72184,0.43186
2.33,0.7572,0.42738
2.34,0.79007,0.42353
2.35,0.82028,0.42105
2.36,0.84745,0.42118
2.37,0.87095,0.42553
2.38,0.89059,0.43594
2.39,0.90642,0.45419
2.4,0.9178,0.48161
2.41,0.92452,0.51876
2.42,0.92715,0.56513
2.43,0.92501,0.61902
2.44,0.91811,0.67751
2.45,0.90694,0.73678
2.46,0.89142,0.79241
2.47,0.87152,0.83994
2.48,0.84773,0.87533
2.49,0.82045,0.89543
2.5,0.78966,0.89834
2.51,0.75584,0.88353
2.52,0.71974,0.85189
2.53,0.68136,0.8056
2.54,0.64131,0.74782
2.55,0.60022,0.6824
2.56,0.55839,0.61351
2.57,0.5164,0.54529
2.58,0.47483,0.48158
2.59,0.43404,0.42565
2.6,0.39459,0.38004
2.61,0.35707,0.34645
2.62,0.32159,0.32566
2.63,0.28882,0.31756
2.64,0.25923,0.32122
2.65,0.23283,0.33499
2.66,0.21006,0.35669
2.67,0.19135,0.38383
2.68,0.17667,0.41376
2.69,0.16603,0.44395
2.7,0.15989,0.47213
2.71,0.15821,0.49645
2.72,0.16041,0.51556
2.73,0.16708,0.52869
2.74,0.17796,0.53563
2.75,0.19245,0.53666
2.76,0.2107,0.5325
2.77,0.23247,0.52419
2.78,0.25713,0.51293
2.79,0.28443,0.49995
2.8,0.31421,0.4864
2.81,0.34579,0.47321
2.82,0.37863,0.46104
2.83,0.41266,0.45023
2.84,0.44713,0.44084
2.85,0.48151,0.43277
2.86,0.5156,0.42585
2.87,0.54877,0.42005
2.88,0.58045,0.41561
2.89,0.61053,0.41319
2.9,0.63841,0.41394
2.91,0.66355,0.41939
2.92,0.68607,0.43129
2.93,0.70537,0.45129
2.94,0.72108,0.4806
2.95,0.7333,0.51961
2.96,0.7418,0.56756
2.97,0.74625,0.62245
2.98,0.74679,0.6811
2.99,0.74357,0.73944
3,0.7363,0.79293
3.01,0.72517,0.8371
3.02,0.71075,0.86809
3.03,0.69271,0.88308
3.04,0.67144,0.88059
3.05,0.64754,0.8606
3.06,0.62098,0.82448
3.07,0.59218,0.77483
3.08,0.56181,0.71511
3.09,0.53003,0.64934
3.1,0.49725,0.58174
3.11,0.46422,0.51637
3.12,0.43116,0.45686
3.13,0.39846,0.40619
3.14,0.36689,0.36655
3.15,0.33676,0.33923
3.16,0.30827,0.32459
3.17,0.28216,0.32211
3.18,0.25887,0.33046
3.19,0.23828,0.3477
3.2,0.2211,0.37143
3.21,0.20784,0.39902
3.22,0.19798,0.42785
3.23,0.19222,0.45549
3.24,0.19089,0.47991
3.25,0.19362,0.49957
3.26,0.20052,0.51354
3.27,0.21188,0.52146
3.28,0.22745,0.52357
3.29,0.24682,0.52057
3.3,0.27023,0.51351
3.31,0.29745,0.50362
3.32,0.32769,0.49219
3.33,0.36114,0.48038
3.34,0.39737,0.46914
3.35,0.43575,0.45909
3.36,0.47605,0.45052
3.37,0.51781,0.44343
3.38,0.56043,0.43758
3.39,0.60357,0.43263
3.4,0.64668,0.42834
3.41,0.68909,0.42469
3.42,0.73064,0.42208
3.43,0.77067,0.42142
3.44,0.80849,0.42412
3.45,0.84398,0.43202
3.46,0.87671,0.4471
3.47,0.90594,0.47115
3.48,0.93144,0.50536
3.49,0.95333,0.54991
3.5,0.97076,0.6037
3.51,0.98335,0.66423
3.52,0.9919,0.72771
3.53,0.99546,0.78947
3.54,0.9938,0.84447
3.55,0.98755,0.88788
3.56,0.97652,0.91572
3.57,0.96041,0.9253
3.58,0.93965,0.91551
3.59,0.91478,0.88693
3.6,0.88544,0.84166
3.61,0.85194,0.78306
3.62,0.81532,0.71536
3.63,0.77528,0.64318
3.64,0.73225,0.57113
3.65,0.68699,0.50348
3.66,0.63982,0.44381
3.67,0.59111,0.39487
3.68,0.54147,0.35848
3.69,0.49142,0.33546
3.7,0.44143,0.32572
3.71,0.39209,0.32829
3.72,0.34369,0.3415
3.73,0.29693,0.3631
3.74,0.25236,0.3905
3.75,0.21011,0.42094
3.76,0.17076,0.45176
3.77,0.13493,0.48053
3.78,0.10273,0.50525
3.79,0.074221,0.52446
3.8,0.050235,0.5373
3.81,0.030988,0.54351
3.82,0.015729,0.54344
3.83,0.0055576,0.53787
3.84,0.00054406,0.52796
3.85,0,0.51508
3.86,0.0043067,0.50063
3.87,0.013713,0.48595
3.88,0.027677,0.47215
3.89,0.045782,0.46002
3.9,0.068462,0.45001
3.91,0.095329,0.44217
3.92,0.12531,0.43625
3.93,0.15892,0.43173
3.94,0.19568,0.42799
3.95,0.23475,0.42451
3.96,0.276,0.421
3.97,0.31909,0.41759
3.98,0.36336,0.41501
3.99,0.40833,0.41456
4,0.45368,0.41807
4.01,0.49884,0.42775
4.02,0.54339,0.44579
4.03,0.58684,0.47399
4.04,0.62868,0.51332
4.05,0.6687,0.56349
4.06,0.70639,0.62276
4.07,0.74122,0.6879
4.08,0.77306,0.75448
4.09,0.80177,0.81729
4.1,0.82666,0.87102
4.11,0.84758,0.91086
4.12,0.86503,0.93312
4.13,0.87809,0.93562
4.14,0.88674,0.91793
4.15,0.89155,0.88135
4.16,0.89207,0.82867
4.17,0.88818,0.76386
4.18,0.8804,0.69158
4.19,0.86894,0.61674
4.2,0.85347,0.54404
4.21,0.83445,0.47765
4.22,0.81269,0.42094
4.23,0.78773,0.37633
4.24,0.7601,0.34518
4.25,0.73056,0.32786
4.26,0.69908,0.32379
4.27,0.66606,0.33154
4.28,0.63221,0.34904
4.29,0.59777,0.37376
4.3,0.56307,0.40292
4.31,0.52876,0.43374
4.32,0.49513,0.4636
4.33,0.46252,0.49027
4.34,0.43151,0.51201
4.35,0.40233,0.52767
4.36,0.37529,0.5367
4.37,0.35088,0.53916
4.38,0.3293,0.53565
4.39,0.3106,0.52719
4.4,0.29529,0.51508
4.41,0.28357,0.5008
4.42,0.27502,0.4858
4.43,0.27028,0.4714
4.44,0.26933,0.45866
4.45,0.27177,0.44829
4.46,0.27784,0.44061
4.47,0.28752,0.43553
4.48,0.30038,0.43261
4.49,0.31625,0.43117
4.5,0.33518,0.43038
4.51,0.35669,0.42948
4.52,0.38023,0.42794
4.53,0.40595,0.42565
4.54,0.43323,0.42307
4.55,0.46152,0.42131
4.56,0.49076,0.4221
4.57,0.5204,0.42763
4.58,0.54982,0.44029
4.59,0.5789,0.46228
4.6,0.60715,0.49515
4.61,0.63392,0.53937
4.62,0.65917,0.594
4.63,0.68244,0.65659
4.64,0.70316,0.72325
4.65,0.72123,0.7891
4.66,0.73648,0.84872
4.67,0.74839,0.8969
4.68,0.75684,0.92922
4.69,0.76197,0.94259
4.7,0.76335,0.9356
4.71,0.76083,0.90859
4.72,0.75496,0.86358
4.73,0.74531,0.80399
4.74,0.73195,0.73419
4.75,0.71536,0.65906
4.76,0.69553,0.58354
4.77,0.67259,0.51218
4.78,0.64701,0.44888
4.79,0.61911,0.39663
4.8,0.58904,0.35743
4.81,0.55732,0.33221
4.82,0.52444,0.32089
4.83,0.49059,0.32247
4.84,0.45637,0.3352
4.85,0.42225,0.35675
4.86,0.38848,0.38442
4.87,0.35568,0.41539
4.88,0.32431,0.4469
4.89,0.29454,0.47649
4.9,0.26696,0.50209
4.91,0.2421,0.52218
4.92,0.21981,0.53579
4.93,0.20071,0.5426
4.94,0.1852,0.5428
4.95,0.17317,0.53708
4.96,0.16485,0.52654
4.97,0.16061,0.51249
4.98,0.16036,0.49643
4.99,0.16388,0.47982